word;exercise
vor|ziehen, er zieht vor, zog vor, hat vorgezogen;4/13b
wecker, der, - (den wecker stellen);4/13b
zählen (1) (zu + d.) (pünktlichkeit zählt zu den wichtigsten eigenschaften eines bewerbers.);4/13b
zahlreich;4/13b
zornig;4/13b
zusammen|stellen;4/13b
zweifel, der, -;4/13b
inhaltlich;4/13c
speziell;4/13d
akte, die, -n;4/1a
an|bauen;4/1a
angeklagte, der/die, -n;4/1a
anlage, die, -n;4/1a
beschäftigen (sich) (mit + d.);4/1a
einkommen, das, -;4/1a
elektroingenieur, der, -e;4/1a
elektroingenieurin, die, -nen;4/1a
fair;4/1a
fernsehsender, der, -;4/1a
gerecht;4/1a
gericht, das, -e (ich bin anwältin und oft am gericht.);4/1a
gerichtsverhandlung, die, -en;4/1a
her|stellen;4/1a
industrie, die, -n;4/1a
landwirtschaft, die (sg.);4/1a
menschenkenntnis, die (sg.);4/1a
öffentlichkeit, die (sg.);4/1a
partei, die, -en;4/1a
rechtsanwalt, der, -e;4/1a
rechtsanwältin, die, -nen;4/1a
reportage, die, -n;4/1a
reporter, der, -;4/1a
reporterin, die, -nen;4/1a
richter, der, -;4/1a
richterin, die, -nen;4/1a
schreiner, der, -;4/1a
schreinerin, die, -nen;4/1a
spezialist, der, -en;4/1a
spezialistin, die, -nen;4/1a
urteil, das, -e;4/1a
verbrechen, das, -;4/1a
analyse, die, -n;4/1b
aus|tragen, er trägt aus, trug aus, hat ausgetragen (post austragen);4/1b
briefträger, der, -;4/1b
briefträgerin, die, -nen;4/1b
chemiker, der, -;4/1b
chemikerin, die, -nen;4/1b
elektronik, die (sg.);4/1b
exakt;4/1b
geregelt;4/1b
mechatroniker, der, -;4/1b
mechatronikerin, die, -nen;4/1b
metall, das, -e;4/1b
zu|stellen;4/1b
augenblick, der, -e;4/1c
daran;4/1c
entwicklung, die, -en;4/1c
ernst nehmen, er nimmt ernst, nahm ernst, hat ernst genommen;4/1c
ursprünglich;4/1c
aus|halten, er hält aus, hielt aus, hat ausgehalten;4/3
wunschberuf, der, -e;4/3
konjunktivform, die, -en;4/4d
bedingungssatz, der, -e;4/5a
frei|nehmen, er nimmt frei, nahm frei, hat freigenommen;4/5a
irreal;4/5a
besteck, das, -e;4/6a
bürste, die, -n;4/6a
färben;4/6a
föhnen;4/6a
gaststätte, die, -n;4/6a
hammer, der, -;4/6a
imbiss, der, -e;4/6a
kamm, der, -e;4/6a
karton, der, -s;4/6a
rechner, der, -;4/6a
schere, die, -n;4/6a
umschlag, der, -e;4/6a
irren (sich) (in + d.);4/6c
schütten (peinlich, heute habe ich einem kollegen aus versehen kaffee über das hemd geschüttet.);4/6c
versehen, das, - (aus versehen);4/6c
verwechseln;4/6c
zusammen|sitzen, er sitzt zusammen, saß zusammen, ist zusammengesessen;4/6c
absicht, die, -en;4/6d
schrecklich (es tut mir schrecklich leid!);4/6d
verzeihen, er verzeiht, verzieh, hat verziehen;4/6d
kürzlich;4/6e
unfreundlich;4/7a
variante, die, -n;4/7a
ab|schreiben, er schreibt ab, schrieb ab, hat abgeschrieben;4/8b
anhang, der, -e;4/8b
an|kommen (auf + d.), es kommt an, kam an, ist angekommen;4/8b
aussagekräftig;4/8b
bescheinigung, die, -en;4/8b
bewerbungsfoto, das, -s;4/8b
bewerbungsportal, das, -e;4/8b
bewerbungsschreiben, das, -;4/8b
bewerbungstraining, das, -s;4/8b
darum (2) (könntest du dich darum kümmern, dass unser kunde pünktlich zum flughafen kommt?);4/8b
download, der, -s;4/8b
eignen (sich) (für + a.);4/8b
enthalten, er enthält, enthielt, hat enthalten;4/8b
erkundigen (sich) (nach + d.);4/8b
fortbildung, die, -en;4/8b
frühere;4/8b
geduld, die (sg.);4/8b
institution, die, -en;4/8b
jedoch;4/8b
jobsuche, die, -n;4/8b
lebenslauf, der, -e;4/8b
mit|schicken;4/8b
pdf-dokument, das, -e;4/8b
personalabteilung, die, -en;4/8b
personalchef, der, -s;4/8b
personalchefin, die, -nen;4/8b
personalien, die (pl.);4/8b
profi, der, -s;4/8b
ratgeber, der, -;4/8b
relevant;4/8b
sämtlich;4/8b
selbstverständlich;4/8b
seriös;4/8b
stand, der (sg.) (der chef fragt mich oft nach dem stand der dinge in meinem projekt.);4/8b
voraussetzung, die, -en;4/8b
vorlage, die, -n;4/8b
zukünftig;4/8b
zweck, der, -e;4/8b
